ANT1,17.30,15.00,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,8.50,8.10,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-11.00,1.50,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,7.80,5.40,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,11.60,2.80,270.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,4.10,7.10,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,9.50,5.50,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,-1.20,-8.40,0.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C15,7.50,6.80,90.00,1.0µF,NORDIC_NRF_3_RESC0201_L
C16,8.50,6.80,90.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,-6.30,0.90,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,-5.40,4.30,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-1.20,-6.40,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,10.80,9.40,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-17.90,-15.50,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,5.50,-5.50,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C21,-1.50,4.30,0.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C22,17.50,7.70,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,7.10,-7.10,0.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C24,7.10,-8.10,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C25,13.50,-4.70,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,3.50,-13.00,270.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C29,11.10,-11.80,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,15.40,7.70,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-11.00,-11.90,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,0.00,-11.90,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,-6.40,-11.00,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,0.60,-6.90,90.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,-10.00,2.60,90.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C37,4.70,-8.30,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C38,-4.20,5.70,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C39,9.20,-5.50,180.00,10uF,NORDIC_NRF_3_RESC0201_L
C4,16.30,7.70,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,2.60,9.60,0.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C43,-2.80,9.60,180.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C5,3.30,3.50,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,-1.00,-5.20,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C7,-1.20,-7.40,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,11.10,-10.00,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,11.70,0.50,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-19.10,-13.60,0.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,0.30,6.80,0.00,ESP32_C6_LIBRARY_3_USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-19.10,-11.40,0.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-19.20,-9.20,0.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-10.70,3.70,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C10,-10.20,-6.90,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C11,-11.30,-8.00,90.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C12,-12.90,-8.40,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C2,-10.70,4.80,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C5,-10.90,-1.30,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,-10.30,-2.40,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C7,-10.30,-3.60,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C8,-10.30,-4.70,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C9,-10.30,-5.70,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
IC1,2.70,-6.20,0.00,BQ25180YBGR_BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,-3.70,-9.90,0.00,DRV2605YZFR_DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,-3.50,2.70,0.00,BMA423_BMA423,BMA423_BMA423
IC9,10.80,-7.80,0.00,RT6160AWSC_RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.70,0.00,270.00,503480-2400_503480-2400,503480-2400_5034802400
J2,19.32,-2.10,0.00,TC2030-IDC_TC2030-IDC,TC2030-IDC_TC2030IDC
J4,0.00,13.84,180.00,KH-TYPE-C-16P_KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,16.20,9.10,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,5.20,7.10,90.00,10µH,NORDIC_NRF_2_RESC0402_L
L3,6.40,7.10,270.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-9.40,7.10,0.00,68uH,NORDIC_NRF_2_RESC0402_L
L7,13.70,-8.00,270.00,MLP2016SR47MT0S1_FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,-8.45,-0.40,270.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,-11.30,9.00,0.00,ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,-3.10,0.40,0.00,3K3,CPF0201D7K68C1_0201
R18,-1.50,1.30,180.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,-3.80,-4.50,180.00,0.47,CPF0201D7K68C1_0201
R1_USB,1.30,9.70,180.00,5K1,CPF0201D7K68C1_0201
R2,8.60,-7.90,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-15.00,8.30,0.00,10K,CPF0201D7K68C1_0201
R2_USB,-1.00,9.80,0.00,5K1,CPF0201D7K68C1_0201
R3,-4.60,0.40,90.00,0,CPF0201D7K68C1_0201
R4,11.20,-4.70,0.00,0,CPF0201D7K68C1_0201
R5,-12.40,-11.80,180.00,10k,CPF0201D7K68C1_0201
R7,9.60,-11.60,0.00,10k,CPF0201D7K68C1_0201
R8,-1.40,-11.80,0.00,10k,CPF0201D7K68C1_0201
R9,1.50,-7.10,180.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-4.90,-1.40,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-3.10,-4.50,0.00,2.2,CPF0201D7K68C1_0201
SJ1,-6.80,-6.20,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.10,-13.83,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-13.93,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-13.93,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,7.80,13.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-7.80,-9.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,21.30,-11.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,21.60,-9.30,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-1.40,-10.20,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,5.30,-10.20,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,18.40,-9.30,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,14.90,4.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,20.80,7.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,21.00,4.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,18.00,4.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,17.80,-12.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,6.70,-14.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,8.00,-9.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,7.30,0.80,0.00,NORDIC_NRF_4_NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-5.40,-13.90,0.00,ESP32_C6_LIBRARY_MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,10.80,7.60,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,-7.30,2.60,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
